id,year_observed,month_observed,day_observed,time_observed_at,user_id,user_login,quality_grade,latitude,longitude,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
3063475,2016,4,30,2016-04-30 16:43:52 UTC,21718,klprudic,research,32.24829321,-110.9086262,Anthanassa texana,Texan Crescent,Insecta,132339,Lepidoptera,Nymphalidae,Anthanassa,Anthanassa texana
4463682,2016,10,30,2016-10-30 18:41:01 UTC,284685,madkaplan,research,32.2484649,-110.9082729,Danaus gilippus,Queen,Insecta,51743,Lepidoptera,Nymphalidae,Danaus,Danaus gilippus
4533117,2016,11,11,2016-11-11 22:54:13 UTC,21718,klprudic,research,32.2485888,-110.9085879,Anthanassa texana,Texan Crescent,Insecta,132339,Lepidoptera,Nymphalidae,Anthanassa,Anthanassa texana
4533122,2016,11,11,2016-11-11 22:56:30 UTC,21718,klprudic,research,32.2480845,-110.9084255,Danaus gilippus,Queen,Insecta,51743,Lepidoptera,Nymphalidae,Danaus,Danaus gilippus
4533125,2016,11,11,2016-11-11 22:57:52 UTC,21718,klprudic,research,32.248143,-110.9081519,Vanessa cardui,Painted Lady,Insecta,48548,Lepidoptera,Nymphalidae,Vanessa,Vanessa cardui
5458652,2017,3,14,2017-03-14 16:24:00 UTC,6869,jbryant,research,32.248523,-110.908785,Anthanassa texana,Texan Crescent,Insecta,132339,Lepidoptera,Nymphalidae,Anthanassa,Anthanassa texana
6912903,2017,4,2,,518008,ingas,needs_id,32.248523,-110.908785,Hesperiidae,Skippers,Insecta,47653,Lepidoptera,Hesperiidae,,
6912962,2017,4,2,,518008,ingas,research,32.248523,-110.908785,Apis mellifera,Western Honey Bee,Insecta,47219,Hymenoptera,Apidae,Apis,Apis mellifera
6912970,2017,4,2,,518008,ingas,needs_id,32.248523,-110.908785,Callophrys,Green Hairstreaks,Insecta,58554,Lepidoptera,Lycaenidae,Callophrys,
6938289,2017,2,28,,518008,ingas,research,32.248523,-110.908785,Anthanassa texana,Texan Crescent,Insecta,132339,Lepidoptera,Nymphalidae,Anthanassa,Anthanassa texana
6938303,2017,2,28,,518008,ingas,needs_id,32.248523,-110.908785,Hesperiidae,Skippers,Insecta,47653,Lepidoptera,Hesperiidae,,
6938340,2017,2,28,,518008,ingas,research,32.248523,-110.908785,Pieris rapae,Cabbage White,Insecta,55626,Lepidoptera,Pieridae,Pieris,Pieris rapae
6938376,2017,2,28,,518008,ingas,needs_id,32.248523,-110.908785,Pyrgini,"Checkered-Skippers, White-Skippers, and Allies",Insecta,320554,Lepidoptera,Hesperiidae,,
6976558,2017,1,23,,518008,ingas,research,32.248523,-110.908785,Danaus gilippus,Queen,Insecta,51743,Lepidoptera,Nymphalidae,Danaus,Danaus gilippus
