Year,Month,Day,Order,Family,Genus,Species
2011,10,5,Hymenoptera,Apidae,Bombus,spp.
2011,10,5,Hymenoptera,Apidae,Bombus,spp.
2011,10,5,Hymenoptera,Apidae,Bombus,spp.
2011,10,5,Hymenoptera,Apidae,Bombus,spp.
2011,10,5,Hymenoptera,Apidae,Bombus,spp.
2011,10,5,Hymenoptera,Apidae,Bombus,spp.
2011,10,5,Hymenoptera,Apidae,Bombus,spp.
2011,10,5,Hymenoptera,Apidae,Bombus,spp.
2013,10,4,Hymenoptera,Apidae,Bombus,spp.
2013,10,4,Hymenoptera,Apidae,Bombus,spp.
2013,10,4,Hymenoptera,Apidae,Bombus,spp.
2013,10,4,Hymenoptera,Apidae,Bombus,spp.
2013,10,4,Hymenoptera,Apidae,Bombus,spp.
2013,10,4,Hymenoptera,Apidae,Bombus,spp.
2013,10,4,Hymenoptera,Apidae,Bombus,spp.
2013,10,4,Hymenoptera,Apidae,Bombus,spp.
2013,10,4,Hymenoptera,Apidae,Bombus,spp.
2013,10,4,Hymenoptera,Apidae,Bombus,spp.
2013,10,4,Hymenoptera,Apidae,Bombus,spp.
2013,10,4,Hymenoptera,Apidae,Bombus,spp.
2013,10,10,Hymenoptera,Apidae,Bombus,spp.
2013,10,10,Hymenoptera,Apidae,Bombus,spp.
2013,10,10,Hymenoptera,Apidae,Bombus,spp.
2013,10,10,Hymenoptera,Apidae,Bombus,spp.
2013,10,10,Hymenoptera,Apidae,Bombus,spp.
2013,10,10,Hymenoptera,Apidae,Bombus,spp.
2013,10,10,Hymenoptera,Apidae,Bombus,spp.
2013,10,10,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,Hymenoptera,Apidae,Bombus,spp.
