Year,Month,Day,Latitude,Longitude,Order,Family,Genus,Species
2011,10,5,32.228535,-110.943207,Hymenoptera,Apidae,Bombus,spp.
2011,10,5,32.228535,-110.943207,Hymenoptera,Apidae,Bombus,spp.
2011,10,5,32.228535,-110.943207,Hymenoptera,Apidae,Bombus,spp.
2011,10,5,32.228535,-110.943207,Hymenoptera,Apidae,Bombus,spp.
2011,10,5,32.228535,-110.943207,Hymenoptera,Apidae,Bombus,spp.
2011,10,5,32.228535,-110.943207,Hymenoptera,Apidae,Bombus,spp.
2011,10,5,32.228535,-110.943207,Hymenoptera,Apidae,Bombus,spp.
2011,10,5,32.228535,-110.943207,Hymenoptera,Apidae,Bombus,spp.
2013,10,4,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,4,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,4,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,4,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,4,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,4,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,4,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,4,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,4,32.231899,-110.951027,Hymenoptera,Apidae,Bombus,spp.
2013,10,4,32.231899,-110.951027,Hymenoptera,Apidae,Bombus,spp.
2013,10,4,32.231899,-110.951027,Hymenoptera,Apidae,Bombus,spp.
2013,10,4,32.231899,-110.951027,Hymenoptera,Apidae,Bombus,spp.
2013,10,10,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,10,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,10,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,10,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,10,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,10,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,10,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,10,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.231934,-110.950989,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.231934,-110.950989,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.231934,-110.950989,Hymenoptera,Apidae,Bombus,spp.
2013,10,14,32.231934,-110.950989,Hymenoptera,Apidae,Bombus,spp.
2013,10,15,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,15,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,15,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,15,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,15,32.231899,-110.951027,Hymenoptera,Apidae,Bombus,spp.
2013,10,15,32.231899,-110.951027,Hymenoptera,Apidae,Bombus,spp.
2013,10,15,32.231899,-110.951027,Hymenoptera,Apidae,Bombus,spp.
2013,10,15,32.231899,-110.951027,Hymenoptera,Apidae,Bombus,spp.
2013,10,16,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,16,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,16,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,16,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,16,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,16,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,16,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,16,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,23,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,23,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,23,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,23,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,25,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,25,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,25,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,25,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,26,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,26,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,26,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,26,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,29,32.231934,-110.950989,Hymenoptera,Apidae,Bombus,spp.
2013,10,29,32.231934,-110.950989,Hymenoptera,Apidae,Bombus,spp.
2013,10,29,32.231934,-110.950989,Hymenoptera,Apidae,Bombus,spp.
2013,10,29,32.231934,-110.950989,Hymenoptera,Apidae,Bombus,spp.
2013,10,31,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,31,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,31,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,10,31,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,1,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,1,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,1,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,1,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,1,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,1,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,1,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,1,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,2,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,2,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,2,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,2,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,4,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,4,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,4,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,4,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,4,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,4,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,4,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,4,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,5,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,5,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,5,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,5,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,8,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,8,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,8,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,8,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,12,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,12,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,12,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,12,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,13,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,13,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,13,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,13,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,15,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,15,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,15,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,15,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,15,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,15,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,15,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,15,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,17,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,17,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,17,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,17,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,18,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
2013,11,18,32.23188,-110.951012,Hymenoptera,Apidae,Bombus,spp.
