id,observed_on,time_observed_at,user_id,user_login,quality_grade,latitude,longitude,taxon_geoprivacy,coordinates_obscured,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
3063475,2016-04-30,2016-04-30 16:43:52 UTC,21718,klprudic,research,32.2482932141,-110.9086262162,,false,Anthanassa texana,Texan Crescent,Insecta,132339,Lepidoptera,Nymphalidae,Anthanassa,Anthanassa texana
4463629,2016-10-30,2016-10-30 18:41:27 UTC,284685,madkaplan,research,32.248391402,-110.9082422285,,false,Copestylum apiciferum,,Insecta,371750,Diptera,Syrphidae,Copestylum,Copestylum apiciferum
4463682,2016-10-30,2016-10-30 18:41:01 UTC,284685,madkaplan,research,32.2484649039,-110.9082729172,,false,Danaus gilippus,Queen,Insecta,51743,Lepidoptera,Nymphalidae,Danaus,Danaus gilippus
4533117,2016-11-11,2016-11-11 22:54:13 UTC,21718,klprudic,research,32.2485888,-110.9085879,,false,Anthanassa texana,Texan Crescent,Insecta,132339,Lepidoptera,Nymphalidae,Anthanassa,Anthanassa texana
4533122,2016-11-11,2016-11-11 22:56:30 UTC,21718,klprudic,research,32.2480845,-110.9084255,,false,Danaus gilippus,Queen,Insecta,51743,Lepidoptera,Nymphalidae,Danaus,Danaus gilippus
4533125,2016-11-11,2016-11-11 22:57:52 UTC,21718,klprudic,research,32.248143,-110.9081519,,false,Vanessa cardui,Painted Lady,Insecta,48548,Lepidoptera,Nymphalidae,Vanessa,Vanessa cardui
5458652,2017-03-14,2017-03-14 16:24:00 UTC,6869,jbryant,research,32.248523,-110.908785,,false,Anthanassa texana,Texan Crescent,Insecta,132339,Lepidoptera,Nymphalidae,Anthanassa,Anthanassa texana
6816312,2017-06-26,2017-06-27 01:41:00 UTC,518008,ingas,research,32.248523,-110.908785,,false,Thasus neocalifornicus,Giant Mesquite Bug,Insecta,207600,Hemiptera,Coreidae,Thasus,Thasus neocalifornicus
6912903,2017-04-02,,518008,ingas,needs_id,32.248523,-110.908785,,false,Hesperiidae,Skippers,Insecta,47653,Lepidoptera,Hesperiidae,,
6912962,2017-04-02,,518008,ingas,research,32.248523,-110.908785,,false,Apis mellifera,Western Honey Bee,Insecta,47219,Hymenoptera,Apidae,Apis,Apis mellifera
6912970,2017-04-02,,518008,ingas,needs_id,32.248523,-110.908785,,false,Callophrys,Green Hairstreaks,Insecta,58554,Lepidoptera,Lycaenidae,Callophrys,
6920598,2017-03-21,,518008,ingas,needs_id,32.248523,-110.908785,,false,Tipula,,Insecta,60393,Diptera,Tipulidae,Tipula,
6938289,2017-02-28,,518008,ingas,research,32.248523,-110.908785,,false,Anthanassa texana,Texan Crescent,Insecta,132339,Lepidoptera,Nymphalidae,Anthanassa,Anthanassa texana
6938303,2017-02-28,,518008,ingas,needs_id,32.248523,-110.908785,,false,Hesperiidae,Skippers,Insecta,47653,Lepidoptera,Hesperiidae,,
6938340,2017-02-28,,518008,ingas,research,32.248523,-110.908785,,false,Pieris rapae,Cabbage White,Insecta,55626,Lepidoptera,Pieridae,Pieris,Pieris rapae
6938376,2017-02-28,,518008,ingas,needs_id,32.248523,-110.908785,,false,Pyrgini,"Checkered-Skippers, White-Skippers, and Allies",Insecta,320554,Lepidoptera,Hesperiidae,,
