id,year_observed,month_observed,day_observed,time_observed_at,user_id,user_login,quality_grade,latitude,longitude,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
1385069,2015,4,11,,85726,manzo,needs_id,32.233858,-110.994658,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
4207456,2016,9,26,2016-09-26 16:12:48 UTC,21718,klprudic,needs_id,32.23182819,-110.9509565,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
5664414,2017,4,12,2017-04-12 17:14:39 UTC,437666,demetriv,research,32.2318412,-110.9539251,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
5664431,2017,4,12,2017-04-12 17:15:30 UTC,448869,lewter,needs_id,32.23197971,-110.9538477,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
5664461,2017,4,12,2017-04-12 17:16:28 UTC,443529,antdame,needs_id,32.23192102,-110.9538203,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
7577234,2017,8,16,2017-08-17 01:03:00 UTC,5158,lifespulse,needs_id,32.230792,-110.918406,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
10828212,2018,4,12,2018-04-12 21:13:24 UTC,844282,ellbrooks,needs_id,32.23162373,-110.9492022,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
12164973,2018,5,4,2018-05-04 14:14:00 UTC,4425,birdernaturalist,research,32.27845833,-110.9507222,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
22116617,2019,4,6,2019-04-06 20:49:49 UTC,1128542,amrahne,research,32.21824584,-110.8880554,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
22737712,2019,4,19,2019-04-20 02:07:56 UTC,284685,madkaplan,research,32.22535952,-110.9326632,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
29992435,2019,8,1,,495442,saguaro34,research,32.29361223,-110.8384217,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
31094242,2019,8,18,2019-08-18 15:27:00 UTC,442615,roomthily,needs_id,32.27925114,-111.0216669,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
31262161,2019,8,21,2019-08-21 15:26:00 UTC,442615,roomthily,needs_id,32.2483943,-110.9090808,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
31262172,2019,8,21,2019-08-21 17:25:00 UTC,442615,roomthily,research,32.24841176,-110.908054,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
32013579,2019,9,2,,495442,saguaro34,research,32.29073534,-110.8360675,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
32490175,2019,9,10,,2239270,carl141,needs_id,32.23227222,-110.9504694,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
32816268,2019,9,15,2019-09-16 01:03:00 UTC,2263620,azcris,needs_id,32.23225503,-110.9512166,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
40967881,2020,3,28,2020-03-28 21:39:27 UTC,284685,madkaplan,research,32.2254333,-110.932677,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
41068473,2020,3,30,2020-03-30 19:54:00 UTC,442615,roomthily,research,32.24221421,-110.7974329,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
41126905,2020,3,31,2020-03-31 16:37:00 UTC,20265,heyitshelios,research,32.16419113,-110.9932338,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
42204243,2020,4,14,2020-04-14 22:02:00 UTC,442615,roomthily,research,32.23773129,-110.7980981,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
42590157,2020,4,16,2020-04-16 19:43:31 UTC,2777825,bodabee2,research,32.22490269,-110.958882,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
43333276,2020,4,25,2020-04-25 14:44:20 UTC,6600,lorianne,needs_id,32.24812496,-110.9105018,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
44590765,2020,5,2,2020-05-02 14:34:01 UTC,2861254,mharger,research,32.24583333,-110.9335333,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
53648890,2020,7,19,2020-07-19 16:02:00 UTC,442615,roomthily,research,32.28188225,-110.7299685,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
56446324,2020,8,14,2020-08-14 16:19:00 UTC,442615,roomthily,research,32.23789465,-110.7980337,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
56446331,2020,8,14,2020-08-14 16:39:00 UTC,442615,roomthily,research,32.23789465,-110.7980337,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
56686131,2020,8,16,2020-08-16 14:52:46 UTC,3448882,duancc,research,32.26702222,-110.8976528,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
62355023,2020,10,11,2020-10-11 15:43:00 UTC,442615,roomthily,research,32.28157996,-110.7308403,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
62833383,2020,10,10,2020-10-10 15:14:43 UTC,1948815,maxinecruz,needs_id,32.23325,-110.9494783,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
64247620,2020,9,16,2020-09-17 03:20:00 UTC,1356621,carlosdmartinez,research,32.13055024,-111.0358645,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
64251786,2020,9,19,2020-09-19 19:55:00 UTC,1356621,carlosdmartinez,needs_id,32.2332,-110.95,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
64256377,2020,9,5,2020-09-06 00:00:00 UTC,904914,jsimon48,research,32.23389873,-110.9557792,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
65735911,2020,9,12,2020-09-12 21:16:00 UTC,3520864,meaganash,needs_id,32.2294,-110.9534,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
10099370,2018,3,4,2018-03-04 23:28:00 UTC,266296,swells,research,32.24333,-111.16774,Anthophora urbana,Urbane Digger Bee,Insecta,57681,Hymenoptera,Apidae,Anthophora,Anthophora urbana
11088581,2018,4,17,2018-04-17 22:58:19 UTC,312548,jrvogt,needs_id,32.2287761,-110.9289525,Anthophora,Common Digger Bees,Insecta,57682,Hymenoptera,Apidae,Anthophora,
37697841,2020,1,17,2020-01-17 20:21:00 UTC,442615,roomthily,needs_id,32.27815793,-111.0245465,Anthophora,Common Digger Bees,Insecta,57682,Hymenoptera,Apidae,Anthophora,
37697854,2020,1,17,2020-01-17 20:47:00 UTC,442615,roomthily,needs_id,32.27923721,-111.0274305,Anthophora,Common Digger Bees,Insecta,57682,Hymenoptera,Apidae,Anthophora,
46675753,2020,5,20,2020-05-21 01:28:55 UTC,1136503,robin153,needs_id,32.14972499,-110.7668706,Anthophora,Common Digger Bees,Insecta,57682,Hymenoptera,Apidae,Anthophora,
46676004,2020,5,20,2020-05-21 01:32:36 UTC,1136503,robin153,needs_id,32.14969331,-110.7668615,Anthophora,Common Digger Bees,Insecta,57682,Hymenoptera,Apidae,Anthophora,
59094599,2020,9,9,2020-09-09 17:16:00 UTC,442615,roomthily,needs_id,32.2375135,-110.800158,Anthophora,Common Digger Bees,Insecta,57682,Hymenoptera,Apidae,Anthophora,
