Area,Family,Species,Count
University of Arizona,Apidae,Anthophora californica,12
University of Arizona,Apidae,Apis mellifera,176
University of Arizona,Apidae,Bombus sonorus,2
University of Arizona,Apidae,Xylocopa californica,46
University of Arizona,Apidae,Xylocopa sonorina,14
University of Arizona,Hesperiidae,Copaeodes aurantiaca,4
University of Arizona,Hesperiidae,Erynnis funeralis,1
University of Arizona,Hesperiidae,Hylephila phyleus,18
University of Arizona,Hesperiidae,Lerodea eufala,1
University of Arizona,Lycaenidae,Brephidium exilis,5
University of Arizona,Lycaenidae,Echinargus isola,2
University of Arizona,Lycaenidae,Hemiargus ceraunus,3
University of Arizona,Lycaenidae,Leptotes marina,15
University of Arizona,Lycaenidae,Strymon melinus,2
University of Arizona,Nymphalidae,Agraulis vanillae,1
University of Arizona,Nymphalidae,Anthanassa texana,7
University of Arizona,Nymphalidae,Asterocampa celtis,2
University of Arizona,Nymphalidae,Chlosyne lacinia,1
University of Arizona,Nymphalidae,Danaus gilippus,32
University of Arizona,Nymphalidae,Danaus plexippus,18
University of Arizona,Nymphalidae,Junonia coenia,1
University of Arizona,Nymphalidae,Junonia nigrosuffusa,1
University of Arizona,Nymphalidae,Libytheana carinenta,5
University of Arizona,Nymphalidae,Vanessa cardui,34
University of Arizona,Nymphalidae,Vanessa virginiensis,1
University of Arizona,Papilionidae,Battus philenor,4
University of Arizona,Papilionidae,Papilio polyxenes,5
University of Arizona,Papilionidae,Papilio rumiko,23
University of Arizona,Pieridae,Colias eurytheme,1
University of Arizona,Pieridae,Phoebis agarithe,1
University of Arizona,Pieridae,Phoebis sennae,15
University of Arizona,Pieridae,Pontia protodice,1
University of Arizona,Pieridae,Zerene cesonia,2
University of Arizona,Riodinidae,Calephelis nemesis,1
Tucson,Apidae,Anthophora californica,34
Tucson,Apidae,Anthophora urbana,1
Tucson,Apidae,Apis mellifera,445
Tucson,Apidae,Bombus sonorus,10
Tucson,Apidae,Centris pallida,7
Tucson,Apidae,Centris rhodopus,5
Tucson,Apidae,Ceratina arizonensis,1
Tucson,Apidae,Diadasia enavata,2
Tucson,Apidae,Diadasia rinconis,1
Tucson,Apidae,Ericrocis lata,1
Tucson,Apidae,Melissodes paroselae,6
Tucson,Apidae,Svastra duplocincta,7
Tucson,Apidae,Triepeolus verbesinae,3
Tucson,Apidae,Xeromelecta californica,6
Tucson,Apidae,Xylocopa californica,73
Tucson,Apidae,Xylocopa sonorina,69
Tucson,Apidae,Xylocopa tabaniformis,1
Tucson,Apidae,,323
Tucson,Hesperiidae,Amblyscirtes nysa,2
Tucson,Hesperiidae,Apyrrothrix araxes,1
Tucson,Hesperiidae,Atrytonopsis edwardsi,2
Tucson,Hesperiidae,Burnsius albescens,21
Tucson,Hesperiidae,Burnsius communis,1
Tucson,Hesperiidae,Burnsius philetas,4
Tucson,Hesperiidae,Calpodes ethlius,1
Tucson,Hesperiidae,Celotes nessus,2
Tucson,Hesperiidae,Chiomara georgina,6
Tucson,Hesperiidae,Cogia hippalus,9
Tucson,Hesperiidae,Copaeodes aurantiaca,33
Tucson,Hesperiidae,Erynnis funeralis,38
Tucson,Hesperiidae,Erynnis tristis,4
Tucson,Hesperiidae,Heliopetes domicella,15
Tucson,Hesperiidae,Heliopetes ericetorum,1
Tucson,Hesperiidae,Hylephila phyleus,106
Tucson,Hesperiidae,Lerema accius,1
Tucson,Hesperiidae,Lerodea arabus,4
Tucson,Hesperiidae,Lerodea eufala,28
Tucson,Hesperiidae,Pholisora catullus,7
Tucson,Hesperiidae,Pyrgus albescens,1
Tucson,Hesperiidae,Pyrgus communis,1
Tucson,Hesperiidae,Pyrgus scriptura,4
Tucson,Hesperiidae,Staphylus ceos,5
Tucson,Hesperiidae,Systasea zampa,23
Tucson,Hesperiidae,Urbanus dorantes,3
Tucson,Lycaenidae,Atlides halesus,39
Tucson,Lycaenidae,Brephidium exilis,83
Tucson,Lycaenidae,Callophrys gryneus,7
Tucson,Lycaenidae,Celastrina echo,19
Tucson,Lycaenidae,Echinargus isola,46
Tucson,Lycaenidae,Hemiargus ceraunus,81
Tucson,Lycaenidae,Icaricia lupini,12
Tucson,Lycaenidae,Leptotes marina,96
Tucson,Lycaenidae,Ministrymon leda,42
Tucson,Lycaenidae,Strymon istapa,3
Tucson,Lycaenidae,Strymon melinus,80
Tucson,Nymphalidae,Adelpha eulalia,4
