Family,Species,UA,Tucson,% on UA
Apidae,Anthophora californica,12,34,35.3
,Apis mellifera,176,445,39.6
,Bombus sonorus,2,10,20.0
,Xylocopa californica,46,73,63.0
,Xylocopa sonorina,14,69,20.3
Hesperiidae,Copaeodes aurantiaca,4,33,12.1
,Erynnis funeralis,1,38,2.6
,Hylephila phyleus,18,106,17.0
,Lerodea eufala,1,28,3.6
Lycaenidae,Brephidium exilis,5,83,6.0
,Echinargus isola,2,46,4.3
,Hemiargus ceraunus,3,81,3.7
,Leptotes marina,15,96,15.6
,Strymon melinus,2,80,2.5
Nymphalidae,Agraulis vanillae,1,58,1.7
,Anthanassa texana,7,113,6.2
,Asterocampa celtis,2,19,10.5
,Chlosyne lacinia,1,16,6.3
,Danaus gilippus,32,326,9.8
,Danaus plexippus,18,124,14.5
,Junonia coenia,1,38,2.6
,Junonia nigrosuffusa,1,7,14.3
,Libytheana carinenta,5,112,4.5
,Vanessa cardui,34,259,13.1
,Vanessa virginiensis,1,4,25.0
Papilionidae,Battus philenor,4,124,3.2
,Papilio polyxenes,5,18,27.8
,Papilio rumiko,23,133,17.3
Pieridae,Colias eurytheme,1,29,3.4
,Phoebis agarithe,1,7,14.3
,Phoebis sennae,15,71,21.1
,Pontia protodice,1,82,1.2
,Zerene cesonia,2,32,6.3
Riodinidae,Calephelis nemesis,1,47,2.1
