id,year_observed,month_observed,day_observed,time_observed_at,user_id,user_login,quality_grade,latitude,longitude,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
2782010,2016,3,14,2016-03-14 16:18:16 UTC,197106,brixya01,needs_id,32.22887153,-110.9627444,Meinertellidae,Rock Bristletails,Insecta,245396,Archaeognatha,Meinertellidae,,
32420590,2019,9,4,,2212907,ppursley,needs_id,32.22870278,-110.9561306,Pycnoscelus surinamensis,Surinam Cockroach,Insecta,84635,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis
32451995,2019,9,9,2019-09-10 02:44:16 UTC,2212939,taylorbonn,research,32.22865972,-110.9580834,Pycnoscelus surinamensis,Surinam Cockroach,Insecta,84635,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis
32801882,2019,9,10,2019-09-11 01:50:52 UTC,2212891,hzhuikov,research,32.22941589,-110.9515762,Pycnoscelus surinamensis,Surinam Cockroach,Insecta,84635,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis
58920039,2020,9,7,2020-09-08 02:24:32 UTC,3520103,mbigham99,research,32.22891059,-110.9521957,Pycnoscelus surinamensis,Surinam Cockroach,Insecta,84635,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis
65033117,2020,11,16,2020-11-16 20:36:45 UTC,3517656,davidozrowoods,research,32.23290333,-110.94957,Pycnoscelus surinamensis,Surinam Cockroach,Insecta,84635,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis
61736686,2020,10,4,2020-10-05 00:27:34 UTC,3582140,javynp,needs_id,32.22853398,-110.9507789,Blatta orientalis,Oriental Cockroach,Insecta,154213,Blattodea,Blattidae,Blatta,Blatta orientalis
2896058,2016,4,7,2016-04-07 21:04:26 UTC,210809,sc_goldstate30,needs_id,32.22643621,-110.9605175,Periplaneta americana,American Cockroach,Insecta,82231,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2929716,2016,4,13,2016-04-13 19:32:29 UTC,214653,fatalslayer7733,research,32.22745448,-110.961498,Periplaneta americana,American Cockroach,Insecta,82231,Blattodea,Blattidae,Periplaneta,Periplaneta americana
11408484,2018,4,23,2018-04-24 05:50:30 UTC,841110,kirablissemery,research,32.23079635,-110.9529602,Periplaneta americana,American Cockroach,Insecta,82231,Blattodea,Blattidae,Periplaneta,Periplaneta americana
