"","scientific_name"
"1","Anthophora californica"
"2","Anthophora californica"
"3","Anthophora californica"
"4","Anthophora californica"
"5","Anthophora californica"
"6","Anthophora californica"
"7","Anthophora californica"
"8","Anthophora californica"
"9","Anthophora californica"
"10","Anthophora californica"
"11","Anthophora californica"
"12","Anthophora californica"
"13","Anthophora californica"
"14","Anthophora californica"
"15","Anthophora californica"
"16","Anthophora californica"
"17","Anthophora californica"
"18","Anthophora californica"
"19","Anthophora californica"
"20","Anthophora californica"
"21","Anthophora californica"
"22","Anthophora californica"
"23","Anthophora californica"
"24","Anthophora californica"
"25","Anthophora californica"
"26","Anthophora californica"
"27","Anthophora californica"
"28","Anthophora californica"
"29","Anthophora californica"
"30","Anthophora californica"
"31","Anthophora californica"
"32","Anthophora californica"
"33","Anthophora californica"
"34","Anthophora californica"
"35","Anthophora urbana"
"36","Apis mellifera"
"37","Apis mellifera"
"38","Apis mellifera"
"39","Apis mellifera"
"40","Apis mellifera"
"41","Apis mellifera"
"42","Apis mellifera"
"43","Apis mellifera"
"44","Apis mellifera"
"45","Apis mellifera"
"46","Apis mellifera"
"47","Apis mellifera"
"48","Apis mellifera"
"49","Apis mellifera"
"50","Apis mellifera"
"51","Apis mellifera"
"52","Apis mellifera"
"53","Apis mellifera"
"54","Apis mellifera"
"55","Apis mellifera"
"56","Apis mellifera"
"57","Apis mellifera"
"58","Apis mellifera"
"59","Apis mellifera"
"60","Apis mellifera"
"61","Apis mellifera"
"62","Apis mellifera"
"63","Apis mellifera"
"64","Apis mellifera"
"65","Apis mellifera"
"66","Apis mellifera"
"67","Apis mellifera"
"68","Apis mellifera"
"69","Apis mellifera"
"70","Apis mellifera"
"71","Apis mellifera"
"72","Apis mellifera"
"73","Apis mellifera"
"74","Apis mellifera"
"75","Apis mellifera"
"76","Apis mellifera"
"77","Apis mellifera"
"78","Apis mellifera"
"79","Apis mellifera"
"80","Apis mellifera"
"81","Apis mellifera"
"82","Apis mellifera"
"83","Apis mellifera"
"84","Apis mellifera"
"85","Apis mellifera"
"86","Apis mellifera"
"87","Apis mellifera"
"88","Apis mellifera"
"89","Apis mellifera"
"90","Apis mellifera"
"91","Apis mellifera"
"92","Apis mellifera"
"93","Apis mellifera"
"94","Apis mellifera"
"95","Apis mellifera"
"96","Apis mellifera"
"97","Apis mellifera"
"98","Apis mellifera"
"99","Apis mellifera"
"100","Apis mellifera"
"101","Apis mellifera"
"102","Apis mellifera"
"103","Apis mellifera"
"104","Apis mellifera"
"105","Apis mellifera"
"106","Apis mellifera"
"107","Apis mellifera"
"108","Apis mellifera"
"109","Apis mellifera"
"110","Apis mellifera"
"111","Apis mellifera"
"112","Apis mellifera"
"113","Apis mellifera"
"114","Apis mellifera"
"115","Apis mellifera"
"116","Apis mellifera"
"117","Apis mellifera"
"118","Apis mellifera"
"119","Apis mellifera"
"120","Apis mellifera"
"121","Apis mellifera"
"122","Apis mellifera"
"123","Apis mellifera"
"124","Apis mellifera"
"125","Apis mellifera"
"126","Apis mellifera"
"127","Apis mellifera"
"128","Apis mellifera"
"129","Apis mellifera"
"130","Apis mellifera"
"131","Apis mellifera"
"132","Apis mellifera"
"133","Apis mellifera"
"134","Apis mellifera"
"135","Apis mellifera"
"136","Apis mellifera"
"137","Apis mellifera"
"138","Apis mellifera"
"139","Apis mellifera"
"140","Apis mellifera"
"141","Apis mellifera"
"142","Apis mellifera"
"143","Apis mellifera"
"144","Apis mellifera"
"145","Apis mellifera"
"146","Apis mellifera"
"147","Apis mellifera"
"148","Apis mellifera"
"149","Apis mellifera"
"150","Apis mellifera"
"151","Apis mellifera"
"152","Apis mellifera"
"153","Apis mellifera"
"154","Apis mellifera"
"155","Apis mellifera"
"156","Apis mellifera"
"157","Apis mellifera"
"158","Apis mellifera"
"159","Apis mellifera"
"160","Apis mellifera"
"161","Apis mellifera"
"162","Apis mellifera"
"163","Apis mellifera"
"164","Apis mellifera"
"165","Apis mellifera"
"166","Apis mellifera"
"167","Apis mellifera"
"168","Apis mellifera"
"169","Apis mellifera"
"170","Apis mellifera"
"171","Apis mellifera"
"172","Apis mellifera"
"173","Apis mellifera"
"174","Apis mellifera"
"175","Apis mellifera"
"176","Apis mellifera"
"177","Apis mellifera"
"178","Apis mellifera"
"179","Apis mellifera"
"180","Apis mellifera"
"181","Apis mellifera"
"182","Apis mellifera"
"183","Apis mellifera"
"184","Apis mellifera"
"185","Apis mellifera"
"186","Apis mellifera"
"187","Apis mellifera"
"188","Apis mellifera"
"189","Apis mellifera"
"190","Apis mellifera"
"191","Apis mellifera"
"192","Apis mellifera"
"193","Apis mellifera"
"194","Apis mellifera"
"195","Apis mellifera"
"196","Apis mellifera"
"197","Apis mellifera"
"198","Apis mellifera"
"199","Apis mellifera"
"200","Apis mellifera"
"201","Apis mellifera"
"202","Apis mellifera"
"203","Apis mellifera"
"204","Apis mellifera"
"205","Apis mellifera"
"206","Apis mellifera"
"207","Apis mellifera"
"208","Apis mellifera"
"209","Apis mellifera"
"210","Apis mellifera"
"211","Apis mellifera"
"212","Apis mellifera"
"213","Apis mellifera"
"214","Apis mellifera"
"215","Apis mellifera"
"216","Apis mellifera"
"217","Apis mellifera"
"218","Apis mellifera"
"219","Apis mellifera"
"220","Apis mellifera"
"221","Apis mellifera"
"222","Apis mellifera"
"223","Apis mellifera"
"224","Apis mellifera"
"225","Apis mellifera"
"226","Apis mellifera"
"227","Apis mellifera"
"228","Apis mellifera"
"229","Apis mellifera"
"230","Apis mellifera"
"231","Apis mellifera"
"232","Apis mellifera"
"233","Apis mellifera"
"234","Apis mellifera"
"235","Apis mellifera"
"236","Apis mellifera"
"237","Apis mellifera"
"238","Apis mellifera"
"239","Apis mellifera"
"240","Apis mellifera"
"241","Apis mellifera"
"242","Apis mellifera"
"243","Apis mellifera"
"244","Apis mellifera"
"245","Apis mellifera"
"246","Apis mellifera"
"247","Apis mellifera"
"248","Apis mellifera"
"249","Apis mellifera"
"250","Apis mellifera"
"251","Apis mellifera"
"252","Apis mellifera"
"253","Apis mellifera"
"254","Apis mellifera"
"255","Apis mellifera"
"256","Apis mellifera"
"257","Apis mellifera"
"258","Apis mellifera"
"259","Apis mellifera"
"260","Apis mellifera"
"261","Apis mellifera"
"262","Apis mellifera"
"263","Apis mellifera"
"264","Apis mellifera"
"265","Apis mellifera"
"266","Apis mellifera"
"267","Apis mellifera"
"268","Apis mellifera"
"269","Apis mellifera"
"270","Apis mellifera"
"271","Apis mellifera"
"272","Apis mellifera"
"273","Apis mellifera"
"274","Apis mellifera"
"275","Apis mellifera"
"276","Apis mellifera"
"277","Apis mellifera"
"278","Apis mellifera"
"279","Apis mellifera"
"280","Apis mellifera"
"281","Apis mellifera"
"282","Apis mellifera"
"283","Apis mellifera"
"284","Apis mellifera"
"285","Apis mellifera"
"286","Apis mellifera"
"287","Apis mellifera"
"288","Apis mellifera"
"289","Apis mellifera"
"290","Apis mellifera"
"291","Apis mellifera"
"292","Apis mellifera"
"293","Apis mellifera"
"294","Apis mellifera"
"295","Apis mellifera"
"296","Apis mellifera"
"297","Apis mellifera"
"298","Apis mellifera"
"299","Apis mellifera"
"300","Apis mellifera"
"301","Apis mellifera"
"302","Apis mellifera"
"303","Apis mellifera"
"304","Apis mellifera"
"305","Apis mellifera"
"306","Apis mellifera"
"307","Apis mellifera"
"308","Apis mellifera"
"309","Apis mellifera"
"310","Apis mellifera"
"311","Apis mellifera"
"312","Apis mellifera"
"313","Apis mellifera"
"314","Apis mellifera"
"315","Apis mellifera"
"316","Apis mellifera"
"317","Apis mellifera"
"318","Apis mellifera"
"319","Apis mellifera"
"320","Apis mellifera"
"321","Apis mellifera"
"322","Apis mellifera"
"323","Apis mellifera"
"324","Apis mellifera"
"325","Apis mellifera"
"326","Apis mellifera"
"327","Apis mellifera"
"328","Apis mellifera"
"329","Apis mellifera"
"330","Apis mellifera"
"331","Apis mellifera"
"332","Apis mellifera"
"333","Apis mellifera"
"334","Apis mellifera"
"335","Apis mellifera"
"336","Apis mellifera"
"337","Apis mellifera"
"338","Apis mellifera"
"339","Apis mellifera"
"340","Apis mellifera"
"341","Apis mellifera"
"342","Apis mellifera"
"343","Apis mellifera"
"344","Apis mellifera"
"345","Apis mellifera"
"346","Apis mellifera"
"347","Apis mellifera"
"348","Apis mellifera"
"349","Apis mellifera"
"350","Apis mellifera"
"351","Apis mellifera"
"352","Apis mellifera"
"353","Apis mellifera"
"354","Apis mellifera"
"355","Apis mellifera"
"356","Apis mellifera"
"357","Apis mellifera"
"358","Apis mellifera"
"359","Apis mellifera"
"360","Apis mellifera"
"361","Apis mellifera"
"362","Apis mellifera"
"363","Apis mellifera"
"364","Apis mellifera"
"365","Apis mellifera"
"366","Apis mellifera"
"367","Apis mellifera"
"368","Apis mellifera"
"369","Apis mellifera"
"370","Apis mellifera"
"371","Apis mellifera"
"372","Apis mellifera"
"373","Apis mellifera"
"374","Apis mellifera"
"375","Apis mellifera"
"376","Apis mellifera"
"377","Apis mellifera"
"378","Apis mellifera"
"379","Apis mellifera"
"380","Apis mellifera"
"381","Apis mellifera"
"382","Apis mellifera"
"383","Apis mellifera"
"384","Apis mellifera"
"385","Apis mellifera"
"386","Apis mellifera"
"387","Apis mellifera"
"388","Apis mellifera"
"389","Apis mellifera"
"390","Apis mellifera"
"391","Apis mellifera"
"392","Apis mellifera"
"393","Apis mellifera"
"394","Apis mellifera"
"395","Apis mellifera"
"396","Apis mellifera"
"397","Apis mellifera"
"398","Apis mellifera"
"399","Apis mellifera"
"400","Apis mellifera"
"401","Apis mellifera"
"402","Apis mellifera"
"403","Apis mellifera"
"404","Apis mellifera"
"405","Apis mellifera"
"406","Apis mellifera"
"407","Apis mellifera"
"408","Apis mellifera"
"409","Apis mellifera"
"410","Apis mellifera"
"411","Apis mellifera"
"412","Apis mellifera"
"413","Apis mellifera"
"414","Apis mellifera"
"415","Apis mellifera"
"416","Apis mellifera"
"417","Apis mellifera"
"418","Apis mellifera"
"419","Apis mellifera"
"420","Apis mellifera"
"421","Apis mellifera"
"422","Apis mellifera"
"423","Apis mellifera"
"424","Apis mellifera"
"425","Apis mellifera"
"426","Apis mellifera"
"427","Apis mellifera"
"428","Apis mellifera"
"429","Apis mellifera"
"430","Apis mellifera"
"431","Apis mellifera"
"432","Apis mellifera"
"433","Apis mellifera"
"434","Apis mellifera"
"435","Apis mellifera"
"436","Apis mellifera"
"437","Apis mellifera"
"438","Apis mellifera"
"439","Apis mellifera"
"440","Apis mellifera"
"441","Apis mellifera"
"442","Apis mellifera"
"443","Apis mellifera"
"444","Apis mellifera"
"445","Apis mellifera"
"446","Apis mellifera"
"447","Apis mellifera"
"448","Apis mellifera"
"449","Apis mellifera"
"450","Apis mellifera"
"451","Apis mellifera"
"452","Apis mellifera"
"453","Apis mellifera"
"454","Apis mellifera"
"455","Apis mellifera"
"456","Apis mellifera"
"457","Apis mellifera"
"458","Apis mellifera"
"459","Apis mellifera"
"460","Apis mellifera"
"461","Apis mellifera"
"462","Apis mellifera"
"463","Apis mellifera"
"464","Apis mellifera"
"465","Apis mellifera"
"466","Apis mellifera"
"467","Apis mellifera"
"468","Apis mellifera"
"469","Apis mellifera"
"470","Apis mellifera"
"471","Apis mellifera"
"472","Apis mellifera"
"473","Apis mellifera"
"474","Apis mellifera"
"475","Apis mellifera"
"476","Apis mellifera"
"477","Apis mellifera"
"478","Apis mellifera"
"479","Apis mellifera"
"480","Apis mellifera"
"481","Bombus sonorus"
"482","Bombus sonorus"
"483","Bombus sonorus"
"484","Bombus sonorus"
"485","Bombus sonorus"
"486","Bombus sonorus"
"487","Bombus sonorus"
"488","Bombus sonorus"
"489","Bombus sonorus"
"490","Bombus sonorus"
"491","Centris pallida"
"492","Centris pallida"
"493","Centris pallida"
"494","Centris pallida"
"495","Centris pallida"
"496","Centris pallida"
"497","Centris pallida"
"498","Centris rhodopus"
"499","Centris rhodopus"
"500","Centris rhodopus"
"501","Centris rhodopus"
"502","Centris rhodopus"
"503","Ceratina arizonensis"
"504","Diadasia enavata"
