"","scientific_name"
"1","Anthophora californica"
"2","Anthophora urbana"
"3","Apis mellifera"
"4","Bombus sonorus"
"5","Centris pallida"
"6","Centris rhodopus"
"7","Ceratina arizonensis"
"8","Diadasia enavata"
"9","Diadasia rinconis"
"10","Ericrocis lata"
"11","Melissodes paroselae"
"12","Svastra duplocincta"
"13","Triepeolus verbesinae"
"14","Xeromelecta californica"
"15","Xylocopa californica arizonensis"
"16","Xylocopa californica"
"17","Xylocopa sonorina"
"18","Xylocopa tabaniformis androleuca"
"19","Amblyscirtes nysa"
"20","Apyrrothrix araxes"
"21","Atrytonopsis edwardsi"
"22","Burnsius albescens"
"23","Burnsius communis"
"24","Burnsius philetas"
"25","Pyrgus albescens"
"26","Pyrgus communis"
"27","Calpodes ethlius"
"28","Celotes nessus"
"29","Chiomara georgina"
"30","Cogia hippalus"
"31","Copaeodes aurantiaca"
"32","Erynnis funeralis"
"33","Erynnis tristis"
"34","Heliopetes domicella"
"35","Heliopetes ericetorum"
"36","Hylephila phyleus"
"37","Lerema accius"
"38","Lerodea arabus"
"39","Lerodea eufala"
"40","Pholisora catullus"
"41","Pyrgus scriptura"
"42","Staphylus ceos"
"43","Systasea zampa"
"44","Urbanus dorantes"
"45","Atlides halesus"
"46","Brephidium exilis"
"47","Callophrys gryneus siva"
"48","Callophrys gryneus"
"49","Celastrina echo"
"50","Celastrina echo cinerea"
"51","Echinargus isola"
"52","Hemiargus ceraunus"
"53","Icaricia lupini"
"54","Leptotes marina"
"55","Ministrymon leda"
"56","Strymon istapa"
"57","Strymon melinus"
"58","Adelpha eulalia"
"59","Agraulis vanillae"
"60","Anthanassa texana"
"61","Anthanassa texana texana"
"62","Asterocampa celtis"
"63","Asterocampa celtis antonia"
"64","Asterocampa leilia"
"65","Chlosyne lacinia"
"66","Danaus gilippus"
"67","Danaus gilippus thersippus"
"68","Danaus plexippus"
"69","Dymasia dymas"
"70","Euptoieta claudia"
"71","Euptoieta hegesia"
"72","Junonia coenia"
"73","Junonia coenia grisea"
"74","Junonia nigrosuffusa"
"75","Libytheana carinenta"
"76","Libytheana carinenta mexicana"
"77","Limenitis archippus"
"78","Marpesia petreus"
"79","Mestra amymone"
"80","Nymphalis antiopa"
"81","Nymphalis californica"
"82","Phyciodes mylitta"
"83","Polygonia interrogationis"
"84","Polygonia satyrus"
"85","Texola perse"
"86","Vanessa annabella"
"87","Vanessa atalanta"
"88","Vanessa cardui"
"89","Vanessa virginiensis"
"90","Battus philenor"
"91","Papilio multicaudata"
"92","Papilio pallas bajaensis"
"93","Papilio polyxenes asterius"
"94","Papilio polyxenes"
"95","Papilio rumiko"
"96","Abaeis nicippe"
"97","Anthocharis cethura"
"98","Anthocharis cethura pima"
"99","Anthocharis thoosa inghami"
"100","Anthocharis thoosa"
"101","Colias eurytheme"
"102","Euchloe lotta"
"103","Eurema boisduvaliana"
"104","Eurema mexicana"
"105","Kricogonia lyside"
"106","Nathalis iole"
"107","Phoebis agarithe"
"108","Phoebis sennae"
"109","Pieris rapae"
"110","Pontia protodice"
"111","Pyrisitia proterpia"
"112","Zerene cesonia"
"113","Apodemia mormo"
"114","Apodemia palmerii"
"115","Calephelis arizonensis"
"116","Calephelis nemesis"
