Family,Species,UA,Tucson,% on campus
Apidae,Anthophora californica,7,17,41.18
,Apis mellifera,144,310,46.45
,Bombus sonorus,1,4,25.00
,Xylocopa californica,27,42,64.29
,Xylocopa sonorina,7,40,17.50
Hesperiidae,Copaeodes aurantiaca,3,22,13.64
,Erynnis funeralis,1,34,2.94
,Hylephila phyleus,14,65,21.54
,Lerodea eufala,1,20,5.00
Lycaenidae,Brephidium exilis,5,41,12.20
,Echinargus isola,2,28,7.14
,Hemiargus ceraunus,0,44,0.00
,Leptotes marina,15,62,24.19
,Strymon melinus,2,45,4.44
Nymphalidae,Agraulis vanillae,1,37,2.70
,Anthanassa texana,5,84,5.95
,Asterocampa celtis,0,12,0.00
,Chlosyne lacinia,1,12,8.33
,Danaus gilippus,22,215,10.23
,Danaus plexippus,12,89,13.48
,Junonia coenia,0,12,0.00
,Junonia nigrosuffusa,0,2,0.00
,Libytheana carinenta,5,96,5.21
,Vanessa cardui,30,208,14.42
,Vanessa virginiensis,1,3,33.33
Papilionidae,Battus philenor,3,90,3.33
,Papilio polyxenes,3,13,23.08
,Papilio rumiko,19,93,20.43
Pieridae,Colias eurytheme,0,20,0.00
,Phoebis agarithe,1,4,25.00
,Phoebis sennae,12,58,20.69
,Pontia protodice,0,42,0.00
,Zerene cesonia,2,16,12.50
Riodinidae,Calephelis nemesis,1,29,3.45
,,347,1909,14.34
UA divided by Tucson, 0.18
