"","scientific_name"
"1","Anthophora californica"
"2","Anthophora californica"
"3","Anthophora californica"
"4","Anthophora californica"
"5","Anthophora californica"
"6","Anthophora californica"
"7","Anthophora californica"
"8","Anthophora californica"
"9","Anthophora californica"
"10","Anthophora californica"
"11","Anthophora californica"
"12","Anthophora californica"
"13","Apis mellifera"
"14","Apis mellifera"
"15","Apis mellifera"
"16","Apis mellifera"
"17","Apis mellifera"
"18","Apis mellifera"
"19","Apis mellifera"
"20","Apis mellifera"
"21","Apis mellifera"
"22","Apis mellifera"
"23","Apis mellifera"
"24","Apis mellifera"
"25","Apis mellifera"
"26","Apis mellifera"
"27","Apis mellifera"
"28","Apis mellifera"
"29","Apis mellifera"
"30","Apis mellifera"
"31","Apis mellifera"
"32","Apis mellifera"
"33","Apis mellifera"
"34","Apis mellifera"
"35","Apis mellifera"
"36","Apis mellifera"
"37","Apis mellifera"
"38","Apis mellifera"
"39","Apis mellifera"
"40","Apis mellifera"
"41","Apis mellifera"
"42","Apis mellifera"
"43","Apis mellifera"
"44","Apis mellifera"
"45","Apis mellifera"
"46","Apis mellifera"
"47","Apis mellifera"
"48","Apis mellifera"
"49","Apis mellifera"
"50","Apis mellifera"
"51","Apis mellifera"
"52","Apis mellifera"
"53","Apis mellifera"
"54","Apis mellifera"
"55","Apis mellifera"
"56","Apis mellifera"
"57","Apis mellifera"
"58","Apis mellifera"
"59","Apis mellifera"
"60","Apis mellifera"
"61","Apis mellifera"
"62","Apis mellifera"
"63","Apis mellifera"
"64","Apis mellifera"
"65","Apis mellifera"
"66","Apis mellifera"
"67","Apis mellifera"
"68","Apis mellifera"
"69","Apis mellifera"
"70","Apis mellifera"
"71","Apis mellifera"
"72","Apis mellifera"
"73","Apis mellifera"
"74","Apis mellifera"
"75","Apis mellifera"
"76","Apis mellifera"
"77","Apis mellifera"
"78","Apis mellifera"
"79","Apis mellifera"
"80","Apis mellifera"
"81","Apis mellifera"
"82","Apis mellifera"
"83","Apis mellifera"
"84","Apis mellifera"
"85","Apis mellifera"
"86","Apis mellifera"
"87","Apis mellifera"
"88","Apis mellifera"
"89","Apis mellifera"
"90","Apis mellifera"
"91","Apis mellifera"
"92","Apis mellifera"
"93","Apis mellifera"
"94","Apis mellifera"
"95","Apis mellifera"
"96","Apis mellifera"
"97","Apis mellifera"
"98","Apis mellifera"
"99","Apis mellifera"
"100","Apis mellifera"
"101","Apis mellifera"
"102","Apis mellifera"
"103","Apis mellifera"
"104","Apis mellifera"
"105","Apis mellifera"
"106","Apis mellifera"
"107","Apis mellifera"
"108","Apis mellifera"
"109","Apis mellifera"
"110","Apis mellifera"
"111","Apis mellifera"
"112","Apis mellifera"
"113","Apis mellifera"
"114","Apis mellifera"
"115","Apis mellifera"
"116","Apis mellifera"
"117","Apis mellifera"
"118","Apis mellifera"
"119","Apis mellifera"
"120","Apis mellifera"
"121","Apis mellifera"
"122","Apis mellifera"
"123","Apis mellifera"
"124","Apis mellifera"
"125","Apis mellifera"
"126","Apis mellifera"
"127","Apis mellifera"
"128","Apis mellifera"
"129","Apis mellifera"
"130","Apis mellifera"
"131","Apis mellifera"
"132","Apis mellifera"
"133","Apis mellifera"
"134","Apis mellifera"
"135","Apis mellifera"
"136","Apis mellifera"
"137","Apis mellifera"
"138","Apis mellifera"
"139","Apis mellifera"
"140","Apis mellifera"
"141","Apis mellifera"
"142","Apis mellifera"
"143","Apis mellifera"
"144","Apis mellifera"
"145","Apis mellifera"
"146","Apis mellifera"
"147","Apis mellifera"
"148","Apis mellifera"
"149","Apis mellifera"
"150","Apis mellifera"
"151","Apis mellifera"
"152","Apis mellifera"
"153","Apis mellifera"
"154","Apis mellifera"
"155","Apis mellifera"
"156","Apis mellifera"
"157","Apis mellifera"
"158","Apis mellifera"
"159","Apis mellifera"
"160","Apis mellifera"
"161","Apis mellifera"
"162","Apis mellifera"
"163","Apis mellifera"
"164","Apis mellifera"
"165","Apis mellifera"
"166","Apis mellifera"
"167","Apis mellifera"
"168","Apis mellifera"
"169","Apis mellifera"
"170","Apis mellifera"
"171","Apis mellifera"
"172","Apis mellifera"
"173","Apis mellifera"
"174","Apis mellifera"
"175","Apis mellifera"
"176","Apis mellifera"
"177","Apis mellifera"
"178","Apis mellifera"
"179","Apis mellifera"
"180","Apis mellifera"
"181","Apis mellifera"
"182","Apis mellifera"
"183","Apis mellifera"
"184","Apis mellifera"
"185","Apis mellifera"
"186","Apis mellifera"
"187","Apis mellifera"
"188","Apis mellifera"
"189","Bombus sonorus"
"190","Bombus sonorus"
"191","Xylocopa californica arizonensis"
"192","Xylocopa californica arizonensis"
"193","Xylocopa californica arizonensis"
"194","Xylocopa californica arizonensis"
"195","Xylocopa californica arizonensis"
"196","Xylocopa californica"
"197","Xylocopa californica"
"198","Xylocopa californica"
"199","Xylocopa californica"
"200","Xylocopa californica"
"201","Xylocopa californica"
"202","Xylocopa californica"
"203","Xylocopa californica arizonensis"
"204","Xylocopa californica"
"205","Xylocopa californica"
"206","Xylocopa californica"
"207","Xylocopa californica arizonensis"
"208","Xylocopa californica"
"209","Xylocopa californica"
"210","Xylocopa californica"
"211","Xylocopa californica"
"212","Xylocopa californica arizonensis"
"213","Xylocopa californica"
"214","Xylocopa californica arizonensis"
"215","Xylocopa californica arizonensis"
"216","Xylocopa californica"
"217","Xylocopa californica arizonensis"
"218","Xylocopa californica arizonensis"
"219","Xylocopa californica"
"220","Xylocopa californica"
"221","Xylocopa californica"
"222","Xylocopa californica"
"223","Xylocopa californica"
"224","Xylocopa californica"
"225","Xylocopa californica arizonensis"
"226","Xylocopa californica"
"227","Xylocopa californica"
"228","Xylocopa californica"
"229","Xylocopa californica"
"230","Xylocopa californica"
"231","Xylocopa californica arizonensis"
"232","Xylocopa californica arizonensis"
"233","Xylocopa californica"
"234","Xylocopa californica arizonensis"
"235","Xylocopa californica arizonensis"
"236","Xylocopa californica arizonensis"
"237","Xylocopa sonorina"
"238","Xylocopa sonorina"
"239","Xylocopa sonorina"
"240","Xylocopa sonorina"
"241","Xylocopa sonorina"
"242","Xylocopa sonorina"
"243","Xylocopa sonorina"
"244","Xylocopa sonorina"
"245","Xylocopa sonorina"
"246","Xylocopa sonorina"
"247","Xylocopa sonorina"
"248","Xylocopa sonorina"
"249","Xylocopa sonorina"
"250","Xylocopa sonorina"
"251","Copaeodes aurantiaca"
"252","Copaeodes aurantiaca"
"253","Copaeodes aurantiaca"
"254","Copaeodes aurantiaca"
"255","Erynnis funeralis"
"256","Hylephila phyleus"
"257","Hylephila phyleus"
"258","Hylephila phyleus"
"259","Hylephila phyleus"
"260","Hylephila phyleus"
"261","Hylephila phyleus"
"262","Hylephila phyleus"
"263","Hylephila phyleus"
"264","Hylephila phyleus"
"265","Hylephila phyleus"
"266","Hylephila phyleus"
"267","Hylephila phyleus"
"268","Hylephila phyleus"
"269","Hylephila phyleus"
"270","Hylephila phyleus"
"271","Hylephila phyleus"
"272","Hylephila phyleus"
"273","Hylephila phyleus"
"274","Lerodea eufala"
"275","Brephidium exilis"
"276","Brephidium exilis"
"277","Brephidium exilis"
"278","Brephidium exilis"
"279","Brephidium exilis"
"280","Echinargus isola"
"281","Echinargus isola"
"282","Hemiargus ceraunus"
"283","Hemiargus ceraunus"
"284","Hemiargus ceraunus"
"285","Leptotes marina"
"286","Leptotes marina"
"287","Leptotes marina"
"288","Leptotes marina"
"289","Leptotes marina"
"290","Leptotes marina"
"291","Leptotes marina"
"292","Leptotes marina"
"293","Leptotes marina"
"294","Leptotes marina"
"295","Leptotes marina"
"296","Leptotes marina"
"297","Leptotes marina"
"298","Leptotes marina"
"299","Leptotes marina"
"300","Strymon melinus"
"301","Strymon melinus"
"302","Agraulis vanillae"
"303","Anthanassa texana"
"304","Anthanassa texana"
"305","Anthanassa texana"
"306","Anthanassa texana"
"307","Anthanassa texana"
"308","Anthanassa texana"
"309","Anthanassa texana"
"310","Asterocampa celtis"
"311","Asterocampa celtis"
"312","Chlosyne lacinia"
"313","Danaus gilippus"
"314","Danaus gilippus"
"315","Danaus gilippus"
"316","Danaus gilippus"
"317","Danaus gilippus"
"318","Danaus gilippus"
"319","Danaus gilippus"
"320","Danaus gilippus"
"321","Danaus gilippus"
"322","Danaus gilippus"
"323","Danaus gilippus"
"324","Danaus gilippus"
"325","Danaus gilippus"
"326","Danaus gilippus"
"327","Danaus gilippus"
"328","Danaus gilippus"
"329","Danaus gilippus"
"330","Danaus gilippus"
"331","Danaus gilippus"
"332","Danaus gilippus"
"333","Danaus gilippus"
"334","Danaus gilippus"
"335","Danaus gilippus"
"336","Danaus gilippus"
"337","Danaus gilippus"
"338","Danaus gilippus"
"339","Danaus gilippus"
"340","Danaus gilippus"
"341","Danaus gilippus"
"342","Danaus gilippus"
"343","Danaus gilippus"
"344","Danaus gilippus"
"345","Danaus plexippus"
"346","Danaus plexippus"
"347","Danaus plexippus"
"348","Danaus plexippus"
"349","Danaus plexippus"
"350","Danaus plexippus"
"351","Danaus plexippus"
"352","Danaus plexippus"
"353","Danaus plexippus"
"354","Danaus plexippus"
"355","Danaus plexippus"
"356","Danaus plexippus"
"357","Danaus plexippus"
"358","Danaus plexippus"
"359","Danaus plexippus"
"360","Danaus plexippus"
"361","Danaus plexippus"
"362","Danaus plexippus"
"363","Junonia coenia"
"364","Junonia nigrosuffusa"
"365","Libytheana carinenta"
"366","Libytheana carinenta"
"367","Libytheana carinenta"
"368","Libytheana carinenta"
"369","Libytheana carinenta"
"370","Vanessa cardui"
"371","Vanessa cardui"
"372","Vanessa cardui"
"373","Vanessa cardui"
"374","Vanessa cardui"
"375","Vanessa cardui"
"376","Vanessa cardui"
"377","Vanessa cardui"
"378","Vanessa cardui"
"379","Vanessa cardui"
"380","Vanessa cardui"
"381","Vanessa cardui"
"382","Vanessa cardui"
"383","Vanessa cardui"
"384","Vanessa cardui"
"385","Vanessa cardui"
"386","Vanessa cardui"
"387","Vanessa cardui"
"388","Vanessa cardui"
"389","Vanessa cardui"
"390","Vanessa cardui"
"391","Vanessa cardui"
"392","Vanessa cardui"
"393","Vanessa cardui"
"394","Vanessa cardui"
"395","Vanessa cardui"
"396","Vanessa cardui"
"397","Vanessa cardui"
"398","Vanessa cardui"
"399","Vanessa cardui"
"400","Vanessa cardui"
"401","Vanessa cardui"
"402","Vanessa cardui"
"403","Vanessa cardui"
"404","Vanessa virginiensis"
"405","Battus philenor"
"406","Battus philenor"
"407","Battus philenor"
"408","Battus philenor"
"409","Papilio polyxenes asterius"
"410","Papilio polyxenes"
"411","Papilio polyxenes"
"412","Papilio polyxenes"
"413","Papilio polyxenes"
"414","Papilio rumiko"
"415","Papilio rumiko"
"416","Papilio rumiko"
"417","Papilio rumiko"
"418","Papilio rumiko"
"419","Papilio rumiko"
"420","Papilio rumiko"
"421","Papilio rumiko"
"422","Papilio rumiko"
"423","Papilio rumiko"
"424","Papilio rumiko"
"425","Papilio rumiko"
"426","Papilio rumiko"
"427","Papilio rumiko"
"428","Papilio rumiko"
"429","Papilio rumiko"
"430","Papilio rumiko"
"431","Papilio rumiko"
"432","Papilio rumiko"
"433","Papilio rumiko"
"434","Papilio rumiko"
"435","Papilio rumiko"
"436","Papilio rumiko"
"437","Colias eurytheme"
"438","Phoebis agarithe"
"439","Phoebis sennae"
"440","Phoebis sennae"
"441","Phoebis sennae"
"442","Phoebis sennae"
"443","Phoebis sennae"
"444","Phoebis sennae"
"445","Phoebis sennae"
"446","Phoebis sennae"
"447","Phoebis sennae"
"448","Phoebis sennae"
"449","Phoebis sennae"
"450","Phoebis sennae"
"451","Phoebis sennae"
"452","Phoebis sennae"
"453","Phoebis sennae"
"454","Pontia protodice"
"455","Zerene cesonia"
"456","Zerene cesonia"
"457","Calephelis nemesis"
