Year,Month,Day,Order,Family,Genus,Species,Observer ID
2017,4,12,Hymenoptera,Apidae,Anthophora,californica,437666
2017,4,12,Hymenoptera,Apidae,Anthophora,californica,448869
2019,9,10,Hymenoptera,Apidae,Anthophora,californica,2239270
2019,9,15,Hymenoptera,Apidae,Anthophora,californica,2263620
2020,4,16,Hymenoptera,Apidae,Anthophora,californica,2777825
2015,10,29,Hymenoptera,Apidae,Apis,mellifera,125503
2015,10,29,Hymenoptera,Apidae,Apis,mellifera,125495
2015,10,29,Hymenoptera,Apidae,Apis,mellifera,73174
2016,3,14,Hymenoptera,Apidae,Apis,mellifera,197116
2016,3,14,Hymenoptera,Apidae,Apis,mellifera,197106
2016,3,15,Hymenoptera,Apidae,Apis,mellifera,197116
2016,3,15,Hymenoptera,Apidae,Apis,mellifera,197116
2016,3,15,Hymenoptera,Apidae,Apis,mellifera,197104
2016,3,15,Hymenoptera,Apidae,Apis,mellifera,197113
2016,3,15,Hymenoptera,Apidae,Apis,mellifera,197065
2016,3,15,Hymenoptera,Apidae,Apis,mellifera,197106
2016,3,16,Hymenoptera,Apidae,Apis,mellifera,181333
2016,4,7,Hymenoptera,Apidae,Apis,mellifera,206804
2016,4,7,Hymenoptera,Apidae,Apis,mellifera,210733
2016,4,11,Hymenoptera,Apidae,Apis,mellifera,181181
2016,4,12,Hymenoptera,Apidae,Apis,mellifera,215235
2016,4,12,Hymenoptera,Apidae,Apis,mellifera,210812
2016,4,13,Hymenoptera,Apidae,Apis,mellifera,212752
2016,7,21,Hymenoptera,Apidae,Apis,mellifera,21718
2016,11,30,Hymenoptera,Apidae,Apis,mellifera,6600
2016,11,30,Hymenoptera,Apidae,Apis,mellifera,376969
2016,11,30,Hymenoptera,Apidae,Apis,mellifera,376957
2016,11,30,Hymenoptera,Apidae,Apis,mellifera,376959
2017,3,10,Hymenoptera,Apidae,Apis,mellifera,400431
2017,3,10,Hymenoptera,Apidae,Apis,mellifera,421603
2017,3,10,Hymenoptera,Apidae,Apis,mellifera,392181
2017,3,22,Hymenoptera,Apidae,Apis,mellifera,401619
2017,4,10,Hymenoptera,Apidae,Apis,mellifera,447007
2017,4,12,Hymenoptera,Apidae,Apis,mellifera,446331
2017,4,12,Hymenoptera,Apidae,Apis,mellifera,448415
2017,4,12,Hymenoptera,Apidae,Apis,mellifera,448979
2017,4,12,Hymenoptera,Apidae,Apis,mellifera,448415
2017,4,12,Hymenoptera,Apidae,Apis,mellifera,448291
2017,4,12,Hymenoptera,Apidae,Apis,mellifera,442325
2017,4,12,Hymenoptera,Apidae,Apis,mellifera,449091
2017,4,12,Hymenoptera,Apidae,Apis,mellifera,446236
2017,4,12,Hymenoptera,Apidae,Apis,mellifera,449110
2017,4,12,Hymenoptera,Apidae,Apis,mellifera,440611
2017,4,12,Hymenoptera,Apidae,Apis,mellifera,442764
2017,4,12,Hymenoptera,Apidae,Apis,mellifera,446985
2017,4,12,Hymenoptera,Apidae,Apis,mellifera,442764
2017,4,12,Hymenoptera,Apidae,Apis,mellifera,437666
2017,4,12,Hymenoptera,Apidae,Apis,mellifera,449103
2017,4,12,Hymenoptera,Apidae,Apis,mellifera,450200
2017,4,13,Hymenoptera,Apidae,Apis,mellifera,21718
2017,4,13,Hymenoptera,Apidae,Apis,mellifera,404479
2017,4,13,Hymenoptera,Apidae,Apis,mellifera,447093
2017,4,24,Hymenoptera,Apidae,Apis,mellifera,460280
2017,5,5,Hymenoptera,Apidae,Apis,mellifera,450200
2017,7,4,Hymenoptera,Apidae,Apis,mellifera,21718
2018,3,12,Hymenoptera,Apidae,Apis,mellifera,888494
2018,3,20,Hymenoptera,Apidae,Apis,mellifera,791853
2018,4,11,Hymenoptera,Apidae,Apis,mellifera,845269
2018,4,11,Hymenoptera,Apidae,Apis,mellifera,841477
2018,4,11,Hymenoptera,Apidae,Apis,mellifera,842953
2018,4,11,Hymenoptera,Apidae,Apis,mellifera,841116
2018,4,11,Hymenoptera,Apidae,Apis,mellifera,844078
2018,4,11,Hymenoptera,Apidae,Apis,mellifera,844131
2018,4,11,Hymenoptera,Apidae,Apis,mellifera,843664
2018,4,11,Hymenoptera,Apidae,Apis,mellifera,845315
2018,4,11,Hymenoptera,Apidae,Apis,mellifera,845208
2018,4,11,Hymenoptera,Apidae,Apis,mellifera,843766
2018,4,11,Hymenoptera,Apidae,Apis,mellifera,844078
2018,4,11,Hymenoptera,Apidae,Apis,mellifera,844166
2018,4,11,Hymenoptera,Apidae,Apis,mellifera,841526
2018,4,11,Hymenoptera,Apidae,Apis,mellifera,844329
2018,4,11,Hymenoptera,Apidae,Apis,mellifera,843766
2018,4,11,Hymenoptera,Apidae,Apis,mellifera,841526
2018,4,11,Hymenoptera,Apidae,Apis,mellifera,841624
2018,4,16,Hymenoptera,Apidae,Apis,mellifera,841101
2018,4,21,Hymenoptera,Apidae,Apis,mellifera,845294
2018,4,23,Hymenoptera,Apidae,Apis,mellifera,312304
2018,4,23,Hymenoptera,Apidae,Apis,mellifera,841492
2018,4,23,Hymenoptera,Apidae,Apis,mellifera,886798
2018,4,23,Hymenoptera,Apidae,Apis,mellifera,844853
2018,4,24,Hymenoptera,Apidae,Apis,mellifera,856439
2018,5,10,Hymenoptera,Apidae,Apis,mellifera,856465
2018,5,10,Hymenoptera,Apidae,Apis,mellifera,863686
2018,10,12,Hymenoptera,Apidae,Apis,mellifera,1273722
2018,10,12,Hymenoptera,Apidae,Apis,mellifera,1273771
2018,10,12,Hymenoptera,Apidae,Apis,mellifera,1376441
2018,10,24,Hymenoptera,Apidae,Apis,mellifera,1273752
2018,11,5,Hymenoptera,Apidae,Apis,mellifera,1162965
2018,11,13,Hymenoptera,Apidae,Apis,mellifera,1273789
2018,11,27,Hymenoptera,Apidae,Apis,mellifera,1370731
2018,11,28,Hymenoptera,Apidae,Apis,mellifera,1306058
2018,11,29,Hymenoptera,Apidae,Apis,mellifera,1273740
2018,11,30,Hymenoptera,Apidae,Apis,mellifera,1370848
2018,11,30,Hymenoptera,Apidae,Apis,mellifera,1273721
2018,11,30,Hymenoptera,Apidae,Apis,mellifera,1369421
2018,11,30,Hymenoptera,Apidae,Apis,mellifera,1273733
2018,11,30,Hymenoptera,Apidae,Apis,mellifera,1370848
2018,12,1,Hymenoptera,Apidae,Apis,mellifera,1375082
2018,12,2,Hymenoptera,Apidae,Apis,mellifera,1376395
2018,12,5,Hymenoptera,Apidae,Apis,mellifera,1380715
2019,5,31,Hymenoptera,Apidae,Apis,mellifera,1030791
2019,6,24,Hymenoptera,Apidae,Apis,mellifera,1977541
2019,9,4,Hymenoptera,Apidae,Apis,mellifera,2212957
2019,9,5,Hymenoptera,Apidae,Apis,mellifera,2213547
2019,9,5,Hymenoptera,Apidae,Apis,mellifera,2213989
2019,9,6,Hymenoptera,Apidae,Apis,mellifera,2213476
2019,9,8,Hymenoptera,Apidae,Apis,mellifera,2212893
2019,9,9,Hymenoptera,Apidae,Apis,mellifera,2212953
2019,9,9,Hymenoptera,Apidae,Apis,mellifera,2213064
2019,9,9,Hymenoptera,Apidae,Apis,mellifera,2212882
2019,9,9,Hymenoptera,Apidae,Apis,mellifera,2262053
2019,9,10,Hymenoptera,Apidae,Apis,mellifera,2212971
2019,9,10,Hymenoptera,Apidae,Apis,mellifera,1948815
2019,9,10,Hymenoptera,Apidae,Apis,mellifera,2212950
2019,9,10,Hymenoptera,Apidae,Apis,mellifera,2212900
2019,9,11,Hymenoptera,Apidae,Apis,mellifera,2219029
2019,9,11,Hymenoptera,Apidae,Apis,mellifera,2212909
2019,9,11,Hymenoptera,Apidae,Apis,mellifera,2247474
2019,9,11,Hymenoptera,Apidae,Apis,mellifera,2243496
2019,9,11,Hymenoptera,Apidae,Apis,mellifera,2212972
2019,9,11,Hymenoptera,Apidae,Apis,mellifera,2263469
2019,9,12,Hymenoptera,Apidae,Apis,mellifera,2213725
2019,9,12,Hymenoptera,Apidae,Apis,mellifera,2239223
2019,9,12,Hymenoptera,Apidae,Apis,mellifera,2248200
2019,9,12,Hymenoptera,Apidae,Apis,mellifera,2243549
2019,9,12,Hymenoptera,Apidae,Apis,mellifera,2248561
2019,9,12,Hymenoptera,Apidae,Apis,mellifera,2248722
2019,9,13,Hymenoptera,Apidae,Apis,mellifera,2231715
2019,9,13,Hymenoptera,Apidae,Apis,mellifera,2212335
2019,9,13,Hymenoptera,Apidae,Apis,mellifera,2212954
2019,9,13,Hymenoptera,Apidae,Apis,mellifera,2212954
2019,9,14,Hymenoptera,Apidae,Apis,mellifera,2250855
2019,9,14,Hymenoptera,Apidae,Apis,mellifera,2223736
2019,9,15,Hymenoptera,Apidae,Apis,mellifera,2214274
2019,9,25,Hymenoptera,Apidae,Apis,mellifera,2305111
2019,9,25,Hymenoptera,Apidae,Apis,mellifera,2305111
2019,9,25,Hymenoptera,Apidae,Apis,mellifera,2305111
2019,10,31,Hymenoptera,Apidae,Apis,mellifera,2408644
2019,10,31,Hymenoptera,Apidae,Apis,mellifera,2408646
2019,11,5,Hymenoptera,Apidae,Apis,mellifera,1356621
2019,11,6,Hymenoptera,Apidae,Apis,mellifera,2317842
2019,11,8,Hymenoptera,Apidae,Apis,mellifera,2408657
2019,11,9,Hymenoptera,Apidae,Apis,mellifera,2408657
2020,3,6,Hymenoptera,Apidae,Apis,mellifera,2530210
2020,3,14,Hymenoptera,Apidae,Apis,mellifera,2626865
2020,4,24,Hymenoptera,Apidae,Apis,mellifera,2837043
2020,8,26,Hymenoptera,Apidae,Apis,mellifera,3521301
2020,8,31,Hymenoptera,Apidae,Apis,mellifera,3515561
2020,9,14,Hymenoptera,Apidae,Apis,mellifera,3517728
2018,12,3,Hymenoptera,Apidae,Bombus,sonorus,1279617
2015,9,15,Hymenoptera,Apidae,Xylocopa,californica,134443
2015,10,12,Hymenoptera,Apidae,Xylocopa,californica,134443
2016,2,27,Hymenoptera,Apidae,Xylocopa,californica,134443
2018,5,23,Hymenoptera,Apidae,Xylocopa,californica,579856
2019,9,4,Hymenoptera,Apidae,Xylocopa,californica,2212957
2019,9,4,Hymenoptera,Apidae,Xylocopa,californica,2244181
2019,9,4,Hymenoptera,Apidae,Xylocopa,californica,2247423
2019,9,4,Hymenoptera,Apidae,Xylocopa,californica,2263469
2019,9,5,Hymenoptera,Apidae,Xylocopa,californica,2212884
2019,9,5,Hymenoptera,Apidae,Xylocopa,californica,2239223
2019,9,6,Hymenoptera,Apidae,Xylocopa,californica,2212890
2019,9,10,Hymenoptera,Apidae,Xylocopa,californica,2242947
2019,9,11,Hymenoptera,Apidae,Xylocopa,californica,2247474
2019,9,11,Hymenoptera,Apidae,Xylocopa,californica,2247474
2019,9,11,Hymenoptera,Apidae,Xylocopa,californica,2247474
2019,9,11,Hymenoptera,Apidae,Xylocopa,californica,2242947
2019,9,11,Hymenoptera,Apidae,Xylocopa,californica,2263024
2019,9,12,Hymenoptera,Apidae,Xylocopa,californica,2212898
2019,9,12,Hymenoptera,Apidae,Xylocopa,californica,2248200
2019,9,13,Hymenoptera,Apidae,Xylocopa,californica,2231715
2019,9,13,Hymenoptera,Apidae,Xylocopa,californica,2253039
2019,9,13,Hymenoptera,Apidae,Xylocopa,californica,2212335
