Order,Family,Genus,Species,iNaturalist,NPN
Hymenoptera,Apidae,Anthophora,californica,5,0
Hymenoptera,Apidae,Apis,mellifera,144,0
Hymenoptera,Apidae,Bombus,sonorus,1,1281
Hymenoptera,Apidae,Xylocopa,californica,29,0
Hymenoptera,Apidae,Xylocopa,mexicanorum,1,0
Hymenoptera,Apidae,Xylocopa,sonorina,8,0
Hymenoptera,Apidae,unidentified,unidentified,53,576
Lepidoptera,Hesperiidae,Copaeodes,aurantiaca,4,0
Lepidoptera,Hesperiidae,Erynnis,funeralis,1,0
Lepidoptera,Hesperiidae,Hylephila,phyleus,16,0
Lepidoptera,Hesperiidae,Lerodea,eufala,1,0
Lepidoptera,Hesperiidae,unidentified,unidentified,8,0
Lepidoptera,Lycaenidae,Brephidium,exilis,5,0
Lepidoptera,Lycaenidae,Echinargus,isola,2,0
Lepidoptera,Lycaenidae,Leptotes,marina,15,0
Lepidoptera,Lycaenidae,Strymon,melinus,2,0
Lepidoptera,Lycaenidae,unidentified,unidentified,4,0
Lepidoptera,Nymphalidae,Agraulis,vanillae,1,0
Lepidoptera,Nymphalidae,Anthanassa,texana,7,0
Lepidoptera,Nymphalidae,Asterocampa,celtis,2,0
Lepidoptera,Nymphalidae,Chlosyne,lacinia,1,0
Lepidoptera,Nymphalidae,Danaus,gilippus,25,2774
Lepidoptera,Nymphalidae,Danaus,plexippus,15,20
Lepidoptera,Nymphalidae,Junonia,coenia,1,0
Lepidoptera,Nymphalidae,Libytheana,carinenta,5,0
Lepidoptera,Nymphalidae,Vanessa,cardui,28,0
Lepidoptera,Nymphalidae,Vanessa,virginiensis,1,0
Lepidoptera,Nymphalidae,unidentified,unidentified,6,0
Lepidoptera,Papilionidae,Battus,philenor,3,2847
Lepidoptera,Papilionidae,Papilio,polyxenes,5,0
Lepidoptera,Papilionidae,Papilio,rumiko,21,0
Lepidoptera,Papilionidae,unidentified,unidentified,1,0
Lepidoptera,Pieridae,Colias,eurytheme,1,0
Lepidoptera,Pieridae,Phoebis,agarithe,1,0
Lepidoptera,Pieridae,Phoebis,sennae,15,0
Lepidoptera,Pieridae,Pontia,protodice,1,0
Lepidoptera,Pieridae,Zerene,cesonia,2,0
Lepidoptera,Pieridae,unidentified,unidentified,1,0
Lepidoptera,Riodinidae,Calephelis,arizonensis,1,0
