Year,Month,Day,Order,Family,Genus,Species,Observer ID
2016,3,14,Archaeognatha,Meinertellidae,,,197106
2019,9,4,Blattodea,Blaberidae,Pycnoscelus,surinamensis,2212907
2019,9,9,Blattodea,Blaberidae,Pycnoscelus,surinamensis,2212939
2019,9,10,Blattodea,Blaberidae,Pycnoscelus,surinamensis,2212891
2020,9,7,Blattodea,Blaberidae,Pycnoscelus,surinamensis,3520103
2016,4,7,Blattodea,Blattidae,Periplaneta,americana,210809
2016,4,13,Blattodea,Blattidae,Periplaneta,americana,214653
2018,4,23,Blattodea,Blattidae,Periplaneta,americana,841110
2018,4,30,Blattodea,Blattidae,Periplaneta,americana,929143
2018,10,18,Blattodea,Blattidae,Periplaneta,americana,1273752
2018,10,22,Blattodea,Blattidae,Periplaneta,americana,1292419
2018,10,28,Blattodea,Blattidae,Periplaneta,americana,1279617
2018,11,17,Blattodea,Blattidae,Periplaneta,americana,1273751
2018,11,28,Blattodea,Blattidae,Periplaneta,americana,1370087
2018,11,28,Blattodea,Blattidae,Periplaneta,americana,1372388
2018,11,29,Blattodea,Blattidae,Periplaneta,americana,1273740
2018,12,1,Blattodea,Blattidae,Periplaneta,americana,1273715
2018,12,2,Blattodea,Blattidae,Periplaneta,americana,1370812
2019,5,19,Blattodea,Blattidae,Periplaneta,americana,284246
2019,6,17,Blattodea,Blattidae,Periplaneta,americana,797968
2019,9,5,Blattodea,Blattidae,Periplaneta,americana,2248838
2019,9,6,Blattodea,Blattidae,Periplaneta,americana,2212957
2019,9,8,Blattodea,Blattidae,Periplaneta,americana,2219673
2019,9,8,Blattodea,Blattidae,Periplaneta,americana,2230632
2019,9,10,Blattodea,Blattidae,Periplaneta,americana,2240428
2019,9,12,Blattodea,Blattidae,Periplaneta,americana,2263488
2019,9,13,Blattodea,Blattidae,Periplaneta,americana,2212911
2019,9,18,Blattodea,Blattidae,Periplaneta,americana,2212901
2020,4,17,Blattodea,Blattidae,Periplaneta,americana,1923420
2020,6,17,Blattodea,Blattidae,Periplaneta,americana,2317842
2020,8,27,Blattodea,Blattidae,Periplaneta,americana,3515561
2020,9,1,Blattodea,Blattidae,Periplaneta,americana,3591708
2020,9,4,Blattodea,Blattidae,Periplaneta,americana,3522054
2020,9,13,Blattodea,Blattidae,Periplaneta,americana,3647747
2020,9,18,Blattodea,Blattidae,Periplaneta,americana,3551697
2020,9,18,Blattodea,Blattidae,Periplaneta,americana,3645413
2019,9,15,Blattodea,Blattidae,Shelfordella,lateralis,2212915
2018,4,16,Blattodea,Blattidae,,,845013
2018,11,29,Blattodea,Blattidae,,,1378098
2018,12,3,Blattodea,Blattidae,,,1377940
2019,9,6,Blattodea,Blattidae,,,2214274
