Year,Month,Day,latitude,longitude,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
2016,3,14,32.22887153,-110.9627444,Archaeognatha,Meinertellidae,,
2019,9,4,32.22870278,-110.9561306,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis
2019,9,9,32.22865972,-110.9580834,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis
2019,9,10,32.22941589,-110.9515762,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis
2020,9,7,32.22891059,-110.9521957,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis
2016,4,7,32.22643621,-110.9605175,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2016,4,13,32.22745448,-110.961498,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2018,4,23,32.23079635,-110.9529602,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2018,4,30,32.23320623,-110.9556153,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2018,10,18,32.2312088,-110.953064,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2018,10,22,32.23169794,-110.949688,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2018,10,28,32.22906357,-110.9513878,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2018,11,17,32.23187106,-110.9538512,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2018,11,28,32.23255436,-110.9498181,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2018,11,28,32.23453773,-110.9588607,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2018,11,29,32.23026681,-110.9538498,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2018,12,1,32.22913036,-110.9513632,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2018,12,2,32.23161302,-110.9509532,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2019,5,19,32.238156,-110.94202,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2019,6,17,32.22805405,-110.9410858,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2019,9,5,32.22890833,-110.95108,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2019,9,6,32.22967501,-110.95109,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2019,9,8,32.23184005,-110.9539109,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2019,9,8,32.23231167,-110.95375,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2019,9,10,32.22763333,-110.9551,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2019,9,12,32.2319705,-110.9502411,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2019,9,13,32.22971333,-110.9514167,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2019,9,18,32.22535833,-110.9586417,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2020,4,17,32.22887,-110.9519117,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2020,6,17,32.23111441,-110.9531375,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2020,8,27,32.23320871,-110.9539866,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2020,9,1,32.23136285,-110.9563145,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2020,9,4,32.22852657,-110.9511544,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2020,9,13,32.231885,-110.950109,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2020,9,18,32.2309826,-110.9509398,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2020,9,18,32.2318851,-110.9501094,Blattodea,Blattidae,Periplaneta,Periplaneta americana
2018,4,16,32.24153646,-110.950788,Blattodea,Blattidae,Periplaneta,
2018,12,3,32.23029526,-110.9539573,Blattodea,Blattidae,Periplaneta,
2019,9,6,32.22869167,-110.9510033,Blattodea,Blattidae,Periplaneta,
2019,9,7,32.23001167,-110.9553617,Blattodea,Blattidae,Periplaneta,
2019,9,10,32.22937833,-110.9518883,Blattodea,Blattidae,Periplaneta,
2019,9,15,32.23075001,-110.9465912,Blattodea,Blattidae,Shelfordella,Shelfordella lateralis
2018,11,29,32.23440532,-110.9583213,Blattodea,Blattidae,,
2020,3,12,32.233466,-110.944724,Blattodea,Corydiidae,Arenivaga,
2020,1,20,32.23177719,-110.9515686,Blattodea,Rhinotermitidae,Reticulitermes,Reticulitermes hesperus
2016,4,11,32.22743089,-110.9619784,Blattodea,Termitidae,Gnathamitermes,
2016,4,14,32.22709791,-110.9593184,Blattodea,Termitidae,Gnathamitermes,
2016,3,14,32.22847549,-110.9635406,Blattodea,,,
2016,3,15,32.227469,-110.952049,Blattodea,,,
2016,3,15,32.227133,-110.951694,Blattodea,,,
2016,4,11,32.2264218,-110.9619769,Blattodea,,,
2016,4,12,32.22643479,-110.9619923,Blattodea,,,
2016,4,13,32.22686193,-110.9601731,Blattodea,,,
2016,4,14,32.22624037,-110.9609018,Blattodea,,,
2016,4,14,32.22625923,-110.9610053,Blattodea,,,
2017,4,10,32.22685063,-110.9520031,Blattodea,,,
2018,11,14,32.22951167,-110.954545,Blattodea,,,
2019,5,18,32.23841,-110.942101,Blattodea,,,
2019,9,13,32.236077,-110.949264,Blattodea,,,
2019,8,1,32.23748333,-110.95002,Coleoptera,Bostrichidae,,
2020,9,1,32.237675,-110.95517,Coleoptera,Buprestidae,Chrysobothris,Chrysobothris octocola
2020,7,25,32.23326333,-110.955055,Coleoptera,Buprestidae,Polycesta,Polycesta aruensis
2018,8,26,32.23217972,-110.9497037,Coleoptera,Carabidae,Calosoma,
2018,9,8,32.2297608,-110.9523092,Coleoptera,Carabidae,Calosoma,
2018,10,16,32.23108209,-110.9513708,Coleoptera,Carabidae,,
2019,11,15,32.23193334,-110.9501093,Coleoptera,Cerambycidae,Dendrobias,Dendrobias mandibularis
2018,6,21,32.22900305,-110.9508811,Coleoptera,Cerambycidae,Derobrachus,Derobrachus hovorei
2020,6,24,32.23743986,-110.9479744,Coleoptera,Cerambycidae,Derobrachus,Derobrachus hovorei
2020,7,1,32.23939167,-110.9591533,Coleoptera,Cerambycidae,Derobrachus,Derobrachus hovorei
2020,7,6,32.2247424,-110.9408924,Coleoptera,Cerambycidae,Derobrachus,Derobrachus hovorei
2018,8,24,32.23392868,-110.9645462,Coleoptera,Cerambycidae,Megacyllene,Megacyllene antennata
2018,9,14,32.23100281,-110.9512863,Coleoptera,Cerambycidae,Megacyllene,Megacyllene antennata
2016,8,22,32.238293,-110.942069,Coleoptera,Cerambycidae,Moneilema,Moneilema gigas
2016,8,22,32.238293,-110.942069,Coleoptera,Cerambycidae,Moneilema,Moneilema gigas
2018,8,23,32.22886505,-110.9375553,Coleoptera,Cerambycidae,Moneilema,Moneilema gigas
2019,9,10,32.227561,-110.94697,Coleoptera,Cerambycidae,Moneilema,Moneilema gigas
2019,9,18,32.22339249,-110.9530716,Coleoptera,Cerambycidae,Moneilema,Moneilema gigas
2019,9,23,32.23175833,-110.9638667,Coleoptera,Cerambycidae,Moneilema,Moneilema gigas
2020,8,30,32.22962984,-110.9389081,Coleoptera,Cerambycidae,Moneilema,Moneilema gigas
2018,11,13,32.2383385,-110.9495697,Coleoptera,Cerambycidae,Moneilema,
2020,7,23,32.24203136,-110.953849,Coleoptera,Cerambycidae,Moneilema,
2007,9,27,32.230808,-110.953502,Coleoptera,Cerambycidae,Oncideres,Oncideres rhodosticta
2016,9,28,32.238293,-110.942069,Coleoptera,Cerambycidae,Oncideres,Oncideres rhodosticta
2016,9,28,32.238293,-110.942069,Coleoptera,Cerambycidae,Oncideres,Oncideres rhodosticta
2017,9,18,32.23242,-110.95157,Coleoptera,Cerambycidae,Oncideres,Oncideres rhodosticta
2019,9,6,32.23255593,-110.9509817,Coleoptera,Cerambycidae,Oncideres,Oncideres rhodosticta
2019,9,14,32.23223833,-110.9507617,Coleoptera,Cerambycidae,Oncideres,Oncideres rhodosticta
2019,9,10,32.23227,-110.9516,Coleoptera,Cerambycidae,Sternidius,
2020,4,12,32.23035833,-110.9627,Coleoptera,Chrysomelidae,Altica,
2018,7,15,32.23714195,-110.9506635,Coleoptera,Chrysomelidae,Deloyala,Deloyala lecontei
2019,9,30,32.22873865,-110.9551489,Coleoptera,Chrysomelidae,Disonycha,Disonycha glabrata
2019,8,29,32.23042,-110.953095,Coleoptera,Chrysomelidae,Trachymela,Trachymela sloanei
2018,4,11,32.23181582,-110.9537983,Coleoptera,Chrysomelidae,,
2018,8,7,32.22880936,-110.9600296,Coleoptera,Chrysomelidae,,
2019,9,7,32.23263931,-110.9515533,Coleoptera,Chrysomelidae,,
2019,9,10,32.23204667,-110.9524083,Coleoptera,Chrysomelidae,,
2018,4,11,32.23185319,-110.9540447,Coleoptera,Coccinellidae,Coccinella,Coccinella septempunctata
2019,9,14,32.23192165,-110.9517322,Coleoptera,Coccinellidae,Coccinella,Coccinella septempunctata
2016,2,20,32.225517,-110.952655,Coleoptera,Coccinellidae,Hippodamia,Hippodamia convergens
2016,2,20,32.225517,-110.952655,Coleoptera,Coccinellidae,Hippodamia,Hippodamia convergens
2016,4,5,32.22555817,-110.9623814,Coleoptera,Coccinellidae,Hippodamia,Hippodamia convergens
2016,4,11,32.22552389,-110.9624491,Coleoptera,Coccinellidae,Hippodamia,Hippodamia convergens
2016,4,11,32.22598464,-110.9623947,Coleoptera,Coccinellidae,Hippodamia,Hippodamia convergens
2017,3,3,32.2272134,-110.9600214,Coleoptera,Coccinellidae,Hippodamia,Hippodamia convergens
2017,11,30,32.23100637,-110.9647492,Coleoptera,Coccinellidae,Hippodamia,Hippodamia convergens
